Date,DepartDate,ArrivalDate,CheapestPrice,DepartAirport,ArriveAirport
 Friday 1. May 2020,19:20,21:50,55.14,Oslo-Gardermoen,Riga
 Sunday 3. May 2020,20:40,23:10,36.86,Oslo-Gardermoen,Riga
 Monday 4. May 2020,20:05,22:35,42.14,Oslo-Gardermoen,Riga
 Tuesday 5. May 2020,11:20,13:50,36.86,Oslo-Gardermoen,Riga
 Wednesday 6. May 2020,11:20,13:50,36.86,Oslo-Gardermoen,Riga
 Thursday 7. May 2020,20:10,22:40,42.14,Oslo-Gardermoen,Riga
 Friday 8. May 2020,19:20,21:50,55.14,Oslo-Gardermoen,Riga
 Sunday 10. May 2020,20:40,23:10,36.86,Oslo-Gardermoen,Riga
 Monday 11. May 2020,20:05,22:35,36.86,Oslo-Gardermoen,Riga
 Tuesday 12. May 2020,11:20,13:50,36.86,Oslo-Gardermoen,Riga
 Wednesday 13. May 2020,11:20,13:50,36.86,Oslo-Gardermoen,Riga
 Thursday 14. May 2020,20:10,22:40,42.14,Oslo-Gardermoen,Riga
 Friday 15. May 2020,19:20,21:50,48.48,Oslo-Gardermoen,Riga
 Sunday 17. May 2020,20:40,23:10,36.86,Oslo-Gardermoen,Riga
 Monday 18. May 2020,20:05,22:35,36.86,Oslo-Gardermoen,Riga
 Tuesday 19. May 2020,11:20,13:50,36.86,Oslo-Gardermoen,Riga
 Wednesday 20. May 2020,11:20,13:50,36.86,Oslo-Gardermoen,Riga
 Thursday 21. May 2020,20:10,22:40,42.14,Oslo-Gardermoen,Riga
 Friday 22. May 2020,19:20,21:50,48.48,Oslo-Gardermoen,Riga
 Sunday 24. May 2020,20:40,23:10,36.86,Oslo-Gardermoen,Riga
 Monday 25. May 2020,20:05,22:35,36.86,Oslo-Gardermoen,Riga
 Tuesday 26. May 2020,11:20,13:50,36.86,Oslo-Gardermoen,Riga
 Wednesday 27. May 2020,11:20,13:50,36.86,Oslo-Gardermoen,Riga
 Thursday 28. May 2020,20:10,22:40,42.14,Oslo-Gardermoen,Riga
 Friday 29. May 2020,19:20,21:50,76.27,Oslo-Gardermoen,Riga
 Sunday 31. May 2020,20:40,23:10,36.86,Oslo-Gardermoen,Riga
